date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:00	141/141	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2029%20Aug%202018%2010:10:59%20GMT	https://www.muso.com/robots.txt		(from )
15:41:01	39281/39281	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Aug%202018%2010:11:00%20GMT	https://www.muso.com/	www.muso.com/index.html	(from )
15:41:02	8936/8936	---MCZ	200	added ('OK')	text/css	etag:W/%2259c2656a-22e8%22	https://www.muso.com/wp-content/plugins/magic-tooltips-for-contact-form-7/assets/css/jquery.qtip.min.css?ver=4.9.8	www.muso.com/wp-content/plugins/magic-tooltips-for-contact-form-7/assets/css/jquery.qtip.min5010.css	(from https://www.muso.com/)
15:41:03	567/567	---M--	200	added ('OK')	text/css	etag:%2259c2656a-237%22	https://www.muso.com/wp-content/plugins/magic-tooltips-for-contact-form-7/assets/css/custom.css?ver=4.9.8	www.muso.com/wp-content/plugins/magic-tooltips-for-contact-form-7/assets/css/custom5010.css	(from https://www.muso.com/)
15:41:04	1069/1069	---MC-	200	added ('OK')	application/rss+xml	etag:%22b11ca5037f2899c5701e3f79ae972097-gzip%22	https://www.muso.com/feed/	www.muso.com/feed/index.html	(from https://www.muso.com/)
15:41:04	723/723	---MC-	200	added ('OK')	application/rss+xml	etag:%222b609cb5035ff6dc170adcf853a05f3e-gzip%22	https://www.muso.com/comments/feed/	www.muso.com/comments/feed/index.html	(from https://www.muso.com/)
15:41:05	1683/1683	---MCZ	200	added ('OK')	text/css	etag:W/%225af400fb-693%22	https://www.muso.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	www.muso.com/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from https://www.muso.com/)
15:41:06	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2259242988-7918%22	https://www.muso.com/wp-content/plugins/maxbuttons/assets/libraries/font-awesome/css/font-awesome.min.css?ver=4.9.8	www.muso.com/wp-content/plugins/maxbuttons/assets/libraries/font-awesome/css/font-awesome.min5010.css	(from https://www.muso.com/)
15:41:07	4188/4188	---MCZ	200	added ('OK')	text/css	etag:W/%2259c2656a-105c%22	https://www.muso.com/wp-content/plugins/uk-cookie-consent/assets/css/style.css?ver=4.9.8	www.muso.com/wp-content/plugins/uk-cookie-consent/assets/css/style5010.css	(from https://www.muso.com/)
15:41:07	510/510	---M--	200	added ('OK')	text/css	etag:%2259242988-1fe%22	https://www.muso.com/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	www.muso.com/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from https://www.muso.com/)
